"author_of_the_papers","year_of_publishing","paper_heading","mammal_species","mammal_group","country","BIOME_NAME","ECO_NAME","REALM","SHAPE_LENG","SHAPE_AREA","geometry"
"Chathuranga & Ranawana 2017",2017,"A preliminary investigation of seed dispersal by elephants (Elephas maximus maximus) in Kumaragala Forest Reserve, Matale District, Sri Lanka","Elephant","Herbivore","Sri Lanka","Tropical & Subtropical Moist Broadleaf Forests","Sri Lanka lowland rain forests","Indomalayan",9.50380098855,1.02250223581,c(80.51155833, 7.26818611)
"Chathuranga et al 2015",2015,"Seed Dispersal Potential of Asian Elephants (Elephas maximus) in Kumaragala Forest Reserve, Matale District, Sri Lanka","Elephant","Herbivore","Sri Lanka","Tropical & Subtropical Moist Broadleaf Forests","Sri Lanka lowland rain forests","Indomalayan",9.50380098855,1.02250223581,c(80.51155833, 7.26818611)
"Chen et al 2000",2000,"Fruit Characteristics and Muntiacus muntijak vaginalis (Muntjac) Visits to Individual Plants of Choerospondias axillaris","Indian barking deer","Herbivore","China","Tropical & Subtropical Moist Broadleaf Forests","Northern Indochina subtropical forests","Indomalayan",56.1992836576,38.1808175635,c(101.56461111, 21.45941111)
"Chetri 2006",2006,"Diet Analysis of Gaur, Bos gaurus gaurus (Smith, 1827) by Micro-Histological Analysis of Fecal Samples in Parsa Wildlife Reserve, Nepal ","Gaur","Herbivore","Nepal","Tropical & Subtropical Grasslands, Savannas & Shrublands","Terai-Duar savanna and grasslands","Indomalayan",27.3418057436,3.15365750478,c(84.79420833, 27.47601111)
"Choudhury et al 1989",1989,"Ecology of capped langur (Presbytis pileatus) in Assam, India","Capped langur","Primate","India","Tropical & Subtropical Moist Broadleaf Forests","Meghalaya subtropical forests","Indomalayan",10.4673605825,3.74468514955,c(93.39362778, 26.61148889)
"Chourasia et al 2012",2012,"Food Habits of Golden Jackal (Canis aureus) and Striped Hyena (Hyaena hyaena) in Sariska Tiger Reserve, Western India","Golden Jackal","Carnivore","India","Tropical & Subtropical Dry Broadleaf Forests","Khathiar-Gir dry deciduous forests","Indomalayan",30.9183998667,23.7341991774,c(76.43891667, 27.31041389)
"Chuang & Lee 1997",1997,"Food habits of three carnivore species (Viverricula indica, Herpestes uwa, and Melogale moschata) in Fushan Forest, northern Taiwan","Small indian civet","Carnivore","China","Tropical & Subtropical Moist Broadleaf Forests","Taiwan subtropical evergreen forests","Indomalayan",8.89266468016,2.95367484808,c(121.59071389, 24.75960833)
"Clink et al 2017",2017,"Dietary diversity, feeding selectivity, and responses to fruit scarcity of two sympatric Bornean primates (Hylobates albibarbis and Presbytis rubicunda rubida)","Bornean white-bearded gibbon","Primate","Indonesia","Mangroves","Sunda Shelf mangroves","Indomalayan",157.401206852,3.03280608429,c(109.9719, -1.85909722)
"Clink et al 2017",2017,"Dietary diversity, feeding selectivity, and responses to fruit scarcity of two sympatric Bornean primates (Hylobates albibarbis and Presbytis rubicunda rubida)","Maroon leaf monkey","Primate","Indonesia","Mangroves","Sunda Shelf mangroves","Indomalayan",157.401206852,3.03280608429,c(109.9719, -1.85909722)
"Colon & Campos-arceiz 2010",2010,"The Impact of Gut P The Impact of Gut Passage b assage by Bintur y Binturongs (Ar ongs (Arctictus Bintur ctictus Binturong) on Seed Germination","Binturong","Carnivore","Singapore","Tropical & Subtropical Moist Broadleaf Forests","Peninsular Malaysian rain forests","Indomalayan",74.5838730257,10.1775849222,c(103.79302222, 1.40436667)
"Colon & Sugau 2012",2012,"Notes on the Diet of the Mala Notes on the Diet of the Malay Civet (Viverra tangalunga) and a tangalunga) and other Civets in Logged and Unlogged Lowland Dipterocarp Rain Forests in Sabah, Borneo","Civet sp","Carnivore","Malayesia","Tropical & Subtropical Moist Broadleaf Forests","Borneo lowland rain forests","Indomalayan",167.919502175,34.6113693569,c(117.68921667, 4.96179444)
"Conry 1981",1981,"Habitat selection and use movements and home range of Malayan gaur (Bos gaurus hubbacki) in centr an gaur (Bos gaurus hubbacki) in central Pahang Mala ahang Malaysia ","Gaur","Herbivore","Malayesia","Tropical & Subtropical Moist Broadleaf Forests","Peninsular Malaysian peat swamp forests","Indomalayan",8.09344951052,0.293743753313,c(103.09955833, 3.56417222)
"Curran & Leighton 2000",2000,"VERTEBRATE RESPONSES TO SPATIOTEMPORAL VARIATION IN SEED PRODUCTION OF MAST-FRUITING DIPTEROCARPACEAE","Bornean bearded pig","Herbivore","Indonesia","Mangroves","Sunda Shelf mangroves","Indomalayan",157.401206852,3.03280608429,c(109.9719, -1.85909722)
"Curran & Webb 2000",2000,"EXPERIMENTAL TESTS OF THE SPATIOTEMPORAL SCALE OF SEED PREDATION IN MAST-FRUITING DIPTEROCARPACEAE","Bornean bearded pig","Herbivore","Indonesia","Mangroves","Sunda Shelf mangroves","Indomalayan",157.401206852,3.03280608429,c(109.9719, -1.85909722)
"Das et al 2022",2022,"Trunk picking from a truncating menu: Dry season forage selection by Asian elephant in a multi-use landscape","Elephant","Herbivore","India","Tropical & Subtropical Grasslands, Savannas & Shrublands","Terai-Duar savanna and grasslands","Indomalayan",27.3418057436,3.15365750478,c(88.79748056, 26.75635833)
"Dasgupta_et_al_2015",2015,"Food Preference of Rehabilitated Asiatic Black Bear cubs in Lowland Tropical Forests of Northeast India","Asiatic black bear","Carnivore","India","Temperate Broadleaf & Mixed Forests","Eastern Himalayan broadleaf forests","Indomalayan",121.712300554,7.58235808345,c(92.98934722, 26.95354167)
"Dave 2010",2010,"Understanding conflicts and conservation of Indian wild ass around Little Rann of Kachchh, Gujarat, India","Wild Ass","Herbivore","India","Flooded Grasslands & Savannas","Rann of Kutch seasonal salt marsh","Indomalayan",25.4589208037,2.46733001013,c(71.77745278, 23.13085)
"David et al 2009",2009,"The Common Indian Mongoose Herpestes edwardsii as seed disperser in Sriharikota Island, India.","Indian grey mongoose","Carnivore","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(80.20472222, 13.73305556)
"David et al 2010",2010,"Fruit-handling techniques of Rose-ringed Parakeets Psittacula krameri feeding on Alangium salviifolium (Linn.) fruits in Sriharikota Island, southern India","Bonnet macaque","Primate","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(80.20472222, 13.73305556)
"David et al 2011",2011,"FRUGIVORY BY BIRDS AND MAMMALS IN SRIHARIKOTA ISLAND, SOUTHERN INDIA","Bonnet macaque","Primate","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(80.20472222, 13.73305556)
