author_of_the_papers,year_of_publishing,paper_heading,study_duration_months,mammal_species,mammal_group,country,latitude ,longitude
Setty 2015,2015,The sustainability of soapberry (Sapindus laurifolia Vahl) fruit harvest by the Soliga community in South India,NA,Spotted deer,Herbivore,India,11.86248056 N,77.15501944 E
Shanahan 2000,2000,"Ficus seed dispersal guilds: ecology, evolution and conservation implications",18,Binturong,Carnivore,Malayesia,4.19837222 N,114.04287222 E
Shanahan 2000,2000,"Ficus seed dispersal guilds: ecology, evolution and conservation implications",18,Bornean bearded pig,Herbivore,Malayesia,4.19837222 N,114.04287222 E
Shanahan 2000,2000,"Ficus seed dispersal guilds: ecology, evolution and conservation implications",18,Bornean yellow muntjac,Herbivore,Malayesia,4.19837222 N,114.04287222 E
Shanahan 2000,2000,"Ficus seed dispersal guilds: ecology, evolution and conservation implications",18,Crab-eating monkey,Primate,Malayesia,4.19837222 N,114.04287222 E
Shanahan 2000,2000,"Ficus seed dispersal guilds: ecology, evolution and conservation implications",18,Javan Mousedeer,Herbivore,Malayesia,4.19837222 N,114.04287222 E
Shanahan 2000,2000,"Ficus seed dispersal guilds: ecology, evolution and conservation implications",18,Pig-tailed macaque,Primate,Malayesia,4.19837222 N,114.04287222 E
Shankar 2006,2006,Seed size as a predictor of germination success and early seedling growth in ‘hollong’ (Dipterocarpus macrocarpus Vesque),8,Mongoose sp,Carnivore,India,27.21206389 N,95.49464444 E
Sharma 2012,2012,"Ecology and Conservation of Primate Assemblages in the Fragmented Lowland Rainforests of the Upper Brahmaputra Valley, Northeastern India",22,Pig-tailed macaque,Primate,India,27.47054444 N,94.91246111 E
Sharma 2012,2012,"Ecology and Conservation of Primate Assemblages in the Fragmented Lowland Rainforests of the Upper Brahmaputra Valley, Northeastern India",22,Rhesus macaque,Primate,India,27.47054444 N,94.91246111 E
Sharma 2012,2012,"Ecology and Conservation of Primate Assemblages in the Fragmented Lowland Rainforests of the Upper Brahmaputra Valley, Northeastern India",22,Stump-tailed macaque,Primate,India,27.47054444 N,94.91246111 E
Sharma 2019,2019,"Population status, Habitat preference and crop depredation by Blackbuck (Antilope cervicapra, LINNEAUS 1758) in BLACK BUCK CONSERVATION AREA, NEPAL",NA,Blackbuck,Herbivore,India,28.22275833 N,81.32893889 E
Sheikh et al 2012,2012,"Food habits of Chital (Axis axis axis) in Van Vihar National Park, Bhopal, Madhya Pradesh, Central India",11,Spotted deer,Herbivore,India,23.23221389 N,77.36643056 E
Sing et al 2008,2008,Biology and chemistry of Ginkgo biloba,NA,Masked palm civet,Carnivore,,NA,NA
Sing et al 2010,2010,STUDY ON VARIOUS SPECIES OF FICUS GENUS GROWING AS RUDERAL FLORA ON BUILDINGS OF SOUTHERN RAJASTHAN,19,Hanuman langur,Primate,India,24.57969444 N,73.66690833 E
Singh et al 2011,2011,"Resource Partitioning in Sympatric Langurs and Macaques in Tropical Rainforests of the Central Western Ghats, South India",39,Bonnet macaque,Primate,India,14.23271111 N,74.68102778 E
Singh et al 2011,2011,"Resource Partitioning in Sympatric Langurs and Macaques in Tropical Rainforests of the Central Western Ghats, South India",39,Hanuman langur,Primate,India,14.23271111 N,74.68102778 E
Singh et al 2011,2011,"Resource Partitioning in Sympatric Langurs and Macaques in Tropical Rainforests of the Central Western Ghats, South India",39,Lion-tailed macaque,Primate,India,14.23271111 N,74.68102778 E
Sinu 2012,2012,"Seed predators of an old-world tropical deciduous tree (Terminalia bellirica: Combretaceae) in wet habitats of the Western Ghats, India",NA,Cattle,Herbivore,India,12.66390278 N,75.61506111 E
Sinu 2012,2012,"Seed predators of an old-world tropical deciduous tree (Terminalia bellirica: Combretaceae) in wet habitats of the Western Ghats, India",NA,Indian spotted chevrotain,Herbivore,India,12.66390278 N,75.61506111 E
Solanki et al 2007,2007,Feeding Ecology of Trachypithecus pileatus in India,12,Capped langur,Primate,India,26.95354167 N,92.98934722 E
Solanki et al 2008,2008,"Winter food selection and diet composition of capped langur (Trachypithecus pileatus) in Arunachal Pradesh, India",8,Capped langur,Primate,India,26.95354167 N,92.98934722 E
Sreekumar & Balakrishnan 2002,2002,Seed Dispersal by the Sloth Bear (Melursus ursinus) in South India,25,Sloth bear,Carnivore,India,8.53406667 N,77.15026667 E
Sridhara 2017,2017,Examining spatio temporal seed dispersal pattern by a terrestrial non obligate frugivore,7,Spotted deer,Herbivore,India,30.01541944 N,78.15239722 E
Srivastava et al 1996,1996,"Some Observations on Troop Structure, Activity Budget and Food Habits of the Nilgiri Langur (Presbytis johnii) in Periyar During Monsoon (June - August)",24,Nilgiri langur,Primate,India,9.46313889 N,77.22865278 E
Stanford 1991,1991,The Diet of the Capped Langur (Presbytis pileata) in a Moist Deciduous Forest in Bangladesh,24,Capped langur,Primate,India,24.703775 N,90.07729722 E
Stavi et al 2015,2015,"The role of large herbivores in recruitment of Acacia trees via endozoochory in the Arava Valley, Israel",12,Addax,Herbivore,Israel,29.846175 N,35.02946389 E
Stavi et al 2015,2015,"The role of large herbivores in recruitment of Acacia trees via endozoochory in the Arava Valley, Israel",12,Dorcas Gazelle,Herbivore,Israel,29.846175 N,35.02946389 E
Stavi et al 2015,2015,"The role of large herbivores in recruitment of Acacia trees via endozoochory in the Arava Valley, Israel",12,Oryx,Herbivore,Israel,29.846175 N,35.02946389 E
Stavi et al 2015,2015,"The role of large herbivores in recruitment of Acacia trees via endozoochory in the Arava Valley, Israel",12,Wild Ass,Herbivore,Israel,29.846175 N,35.02946389 E
Steinmetz et al 2013,2013,Foraging ecology and coexistence of Asiatic black bears and sun bears in a seasonal tropical forest in Southeast Asia,19,Asiatic black bear,Carnivore,Thailand,15.33336389 N,98.91648333 E
Steinmetz et al 2013,2013,Foraging ecology and coexistence of Asiatic black bears and sun bears in a seasonal tropical forest in Southeast Asia,19,Sunbear,Carnivore,Thailand,15.33336389 N,98.91648333 E
Su & Sale 2007,2007,"Niche differentiation between Common Palm Civet Paradoxurus hermaphroditus and Small Indian Civet Viverricula indica in regenerating degraded forest, Myanmar",24,Common palm civet,Carnivore,Myanmar,17.04384722 N,96.11508611 E
Su & Sale 2007,2007,"Niche differentiation between Common Palm Civet Paradoxurus hermaphroditus and Small Indian Civet Viverricula indica in regenerating degraded forest, Myanmar",24,Small indian civet,Carnivore,Myanmar,17.04384722 N,96.11508611 E
Suba 2017,2017,Impact of land use changes on the human-elephant conflict,11,Elephant,Herbivore,Indonesia,3.45000278 S,116.39 E
Suba et al 2018,2018,"Foraging ecology and diet of Bornean elephants (Elephas maximus borneensis) in the Sebuku forest area, North Kalimantan Province of Indonesia: Do the choices matter?",NA,Elephant,Herbivore,Thailand,3.45000278 S,116.39 E
Subrata & Syahbudin 2016,2016,Common Palm Civet as a Potential Seed Disperser of Important Plant Species in Java,2,Common palm civet,Carnivore,Malayesia,6.88983611 N,109.67459167 E
Sukhadiya et al 2013,2013,"Feeding Ecology and Habitat Use of Sloth Bear (Melursus ursinus) in Jassore Wildlife Sanctuary, Gujarat, India",12,Sloth bear,Carnivore,India,24.44683889 N,72.43165556 E
Sukumar 1990,1990,Ecology of the Asian elephant in southern India. II. Feeding habits and crop raiding patterns,24,Elephant,Herbivore,India,11.92614722 N,76.94373056 E
Sumansiri & Weerakon 2008,2008,A Study on the Seed Dispersal Capability of Asian Elephants in the Northwestern Region of Sri Lanka,NA,Elephant,Herbivore,Sri Lanka,7.85038056 N,81.06168611 E
Sundaram 2011,2011,Patterns and processes of Lantana camara persistence in South Indian tropical dry forests,NA,Sloth bear,Carnivore,India,11.86248056 N,77.15501944 E
Sundaram 2011,2011,Patterns and processes of Lantana camara persistence in South Indian tropical dry forests,NA,Wild pig,Herbivore,India,11.86248056 N,77.15501944 E
Suresh Kumar et al 2007,2007,Foraging ecology and time-activity budget of the Arunachal macaque Macaca munzala -A preliminary study,2,Arunachal macaque,Primate,India,27.70973611 N,91.72894167 E
Sushma & Singh 2006,2006,"Resource partitioning and interspecific interactions among sympatric rain forest arboreal mammals of the Western Ghats, India",23,Bonnet macaque,Primate,India,10.66473333 N,76.99621111 E
Sushma & Singh 2006,2006,"Resource partitioning and interspecific interactions among sympatric rain forest arboreal mammals of the Western Ghats, India",23,Lion-tailed macaque,Primate,India,10.66473333 N,76.99621111 E
Sushma & Singh 2006,2006,"Resource partitioning and interspecific interactions among sympatric rain forest arboreal mammals of the Western Ghats, India",23,Nilgiri langur,Primate,India,10.66473333 N,76.99621111 E
Swapna et al 2010,2010,"Exudativory in the Bengal Slow Loris (Nycticebus bengalensis) in Trishna Wildlife Sanctuary, Tripura, Northeast India",5,Slow loris,Primate,India,23.279375 N,91.40120278 E
Tahir et al 2020,2020,BIOLOGY AND ECOLOGICAL ADAPTATIONS OF BLACKBUCK (ANTILOPE CERVICAPRA): A REVIEW,NA,Blackbuck,Herbivore,Pakistan,NA,NA
Takahashi et al 2007,2007,Seasonal variation in fleshy fruit use and seed dispersal by the Japanese black bear (Ursus thibetanus japonicus),12,Asiatic black bear,Carnivore,Japan,36.15439444 N,137.92181944 E
Takatsuki et al 2018,2018,A Comparison of Food Habits Between Japanese Marten and Raccoon Dog in Western Tokyo with Reference to Fruit Use,12,Japanese marten,Carnivore,Japan,35.645975 N,139.27951111 E
Takatsuki et al 2018,2018,A Comparison of Food Habits Between Japanese Marten and Raccoon Dog in Western Tokyo with Reference to Fruit Use,12,Raccoon dog,Carnivore,Japan,35.645975 N,139.27951111 E
Tan et al 2020,2020,Long-term monitoring of seed dispersal by Asian elephants in a Sundaland rainforest,73,Elephant,Herbivore,Malayesia,5.19787222 N,101.39802778 E
Tang et al 2016,2016,"Forest seasonality shapes diet of limestone-living rhesus macaques at Nonggang, China",12,Rhesus macaque,Primate,China,22.4679 N,106.96083611 E
Tatara & Doi 1994,1994,"Comparative analyses on food habits of Japanese marten, Siberian weasel and leopard cat in the Tsushima islands, Japan",60,Japanese marten,Carnivore,Korea,34.20278056 N,129.28751944 E
Tatara & Doi 1994,1994,"Comparative analyses on food habits of Japanese marten, Siberian weasel and leopard cat in the Tsushima islands, Japan",60,Siberian Weasel,Carnivore,Korea,34.20278056 N,129.28751944 E
Teegalapalli et al 2010,2010,Patterns of seed rain and seedling regeneration in abandoned agricultural clearings in a seasonally dry tropical forest in India,NA,Sambar,Herbivore,India,13.67645 N,75.66204722 E
Teegalapalli et al 2010,2010,Patterns of seed rain and seedling regeneration in abandoned agricultural clearings in a seasonally dry tropical forest in India,NA,Spotted deer,Herbivore,India,13.67645 N,75.66204722 E
Thant 2013,2013,Molecular Phylogenetic Status and Ecological Characteristics of Phayre’s Leaf Monkey (Trachypithecus phayrei) in Myanmar,,Phayrei's leaf monkey,Primate,Myanmar,20.93168056 N,95.20537222 E
Tongkok et al 2020,2020,Composition of frugivores of Baccaurea ramiflora (Phyllanthaceae) and effects of environmental factors on frugivory in two tropical forests of China and Thailand,60,Binturong,Carnivore,China,22.00748889 N,100.79738889 E
Tongkok et al 2020,2020,Composition of frugivores of Baccaurea ramiflora (Phyllanthaceae) and effects of environmental factors on frugivory in two tropical forests of China and Thailand,60,Chinese ferret-badger,Carnivore,China,22.00748889 N,100.79738889 E
Tongkok et al 2020,2020,Composition of frugivores of Baccaurea ramiflora (Phyllanthaceae) and effects of environmental factors on frugivory in two tropical forests of China and Thailand,60,Elephant,Herbivore,China,22.00748889 N,100.79738889 E
Tongkok et al 2020,2020,Composition of frugivores of Baccaurea ramiflora (Phyllanthaceae) and effects of environmental factors on frugivory in two tropical forests of China and Thailand,60,Indian barking deer,Herbivore,China,22.00748889 N,100.79738889 E
Tongkok et al 2020,2020,Composition of frugivores of Baccaurea ramiflora (Phyllanthaceae) and effects of environmental factors on frugivory in two tropical forests of China and Thailand,60,Large indian civet,Carnivore,China,22.00748889 N,100.79738889 E
Tongkok et al 2020,2020,Composition of frugivores of Baccaurea ramiflora (Phyllanthaceae) and effects of environmental factors on frugivory in two tropical forests of China and Thailand,60,Lesser Mouse deer,Carnivore,China,22.00748889 N,100.79738889 E
Tongkok et al 2020,2020,Composition of frugivores of Baccaurea ramiflora (Phyllanthaceae) and effects of environmental factors on frugivory in two tropical forests of China and Thailand,60,Masked palm civet,Carnivore,China,22.00748889 N,100.79738889 E
Tongkok et al 2020,2020,Composition of frugivores of Baccaurea ramiflora (Phyllanthaceae) and effects of environmental factors on frugivory in two tropical forests of China and Thailand,60,Owston's civet,Carnivore,China,22.00748889 N,100.79738889 E
Tongkok et al 2020,2020,Composition of frugivores of Baccaurea ramiflora (Phyllanthaceae) and effects of environmental factors on frugivory in two tropical forests of China and Thailand,60,Sambar,Herbivore,China,22.00748889 N,100.79738889 E
Tongkok et al 2020,2020,Composition of frugivores of Baccaurea ramiflora (Phyllanthaceae) and effects of environmental factors on frugivory in two tropical forests of China and Thailand,60,Small indian civet,Carnivore,China,22.00748889 N,100.79738889 E
Tongkok et al 2020,2020,Composition of frugivores of Baccaurea ramiflora (Phyllanthaceae) and effects of environmental factors on frugivory in two tropical forests of China and Thailand,60,Small toothed palm civet,Carnivore,China,22.00748889 N,100.79738889 E
Tongkok et al 2020,2020,Composition of frugivores of Baccaurea ramiflora (Phyllanthaceae) and effects of environmental factors on frugivory in two tropical forests of China and Thailand,60,Wild pig,Herbivore,China,22.00748889 N,100.79738889 E
Tredici 2007,2007,The Phenology of Sexual Reproduction in Ginkgo biloba: Ecological and Evolutionary Implications,NA,Raccoon dog,Carnivore,Japan,25.61611667 N,104.54942778 E
Trent 2010,2010,"ECOLOGY, HABITAT USE, AND CONSERVATION OF ASIATIC BLACK BEARS IN THEMIN MOUNTAINS OF SICHUAN PROVINCE, CHINA",36,Asiatic black bear,Carnivore,China,32.59981944 N,104.79877222 E
Tsang & Corlett 2005,2005,"Reproductive biology of the Ilex species (Aquifoliaceae) in Hong Kong, China",NA,Masked palm civet,Carnivore,China,22.40884722 N,114.13795 E
Tsuji at al 2014,2014,"Multi-annual variation in the diet composition and frugivory of the Japanese marten (Martes melampus) in western Tokyo, central Japan",12,Japanese marten,Carnivore,Japan,35.68939722 N,139.69671944 E
Tsuji et al 2011,2011,"Endozoochorous seed dispersal by sympatric mustelids, Martes melampus andn Mustela itatsi, in western Tokyo, central Japan",12,Japanese marten,Carnivore,Japan,35.68939722 N,139.69671944 E
Tsuji et al 2011,2011,"Endozoochorous seed dispersal by sympatric mustelids, Martes melampus andn Mustela itatsi, in western Tokyo, central Japan",12,Japanese weasel,Carnivore,Japan,35.68939722 N,139.69671944 E
Tsuji et al 2020,2020,Effects of Japanese marten (Martes melampus) gut passage on germination of Actinidia arguta (Actinidiaceae): Implications for seed dispersal,24,Japanese marten,Carnivore,Japan,36.69231389 N,137.14901944 E
Tsunamoto et al 2018,2018,Different contributions of birds and mammals to seed dispersal of a fleshy-fruited tree,24,Japanese badger,Carnivore,Japan,36.93931111 N,140.30385278 E
Tsunamoto et al 2018,2018,Different contributions of birds and mammals to seed dispersal of a fleshy-fruited tree,24,Raccoon dog,Carnivore,Japan,36.93931111 N,140.30385278 E
Tsunamoto et al 2020,2020,Timing of fruiting rather than topography determines the direction of vertical seed dispersal by mammals and birds,24,Asiatic black bear,Carnivore,Japan,36.86636944 N,140.248975 E
Tsunamoto et al 2020,2020,Timing of fruiting rather than topography determines the direction of vertical seed dispersal by mammals and birds,24,Japanese badger,Carnivore,Japan,36.86636944 N,140.248975 E
Tsunamoto et al 2020,2020,Timing of fruiting rather than topography determines the direction of vertical seed dispersal by mammals and birds,24,Japanese macaque,Primate,Japan,36.86636944 N,140.248975 E
Tsunamoto et al 2020,2020,Timing of fruiting rather than topography determines the direction of vertical seed dispersal by mammals and birds,24,Japanese marten,Carnivore,Japan,36.86636944 N,140.248975 E
Tsunamoto et al 2020,2020,Timing of fruiting rather than topography determines the direction of vertical seed dispersal by mammals and birds,24,Raccoon dog,Carnivore,Japan,36.86636944 N,140.248975 E
Tsunamoto et al 2020,2020,Timing of fruiting rather than topography determines the direction of vertical seed dispersal by mammals and birds,24,Red fox,Carnivore,Japan,36.86636944 N,140.248975 E
Tulung et al 2013,2013,A STUDY ON BABIRUSA (BABYROUSA BABYRUSSA CELEBENSIS) IN TROPICAL FOREST OF NORTHERN PART OF SULAWESI,NA,Buru babirus,Herbivore,Indonesia,1.49777778 N,125.17361111 E
Unanthanna & Wickramasinghe 2010,2010,"POPULATION DISTRIBUTION, THREATS AND CONSERVATION STATUS OF Semnopithecus priam thersites AT MIHINTALE SANCTUARY, SRI LANKA",5,Tufted grey langur,Primate,Sri Lanka,8.35342222 N,80.50494444 E
Upadhay et al 2022,2022,Plant diversity of Point Calimere Wildlife Sanctuary and fodder species grazed by the Blackbuck Antilope cervicapra L.,NA,Blackbuck,Herbivore,India,10.28644167 N,79.82991389 E
Vanak & Gompper 2009,2009,DIETARY NICHE SEPARATION BETWEEN SYMPATRIC FREE-RANGING DOMESTIC DOGS AND INDIAN FOXES IN CENTRAL INDIA,20,Indian fox,Carnivore,India,17.82681944 N,75.86875 E
Vandercone et al 2012,2012,Dietary Diversity and Food Selection in Hanuman Langurs (Semnopithecus entellus) and PurpleFaced Langurs (Trachypithecus vetulus) in the Kaludiyapokuna Forest Reserve  in the Dry Zone of Sri Lanka,12,Hanuman langur,Primate,Sri Lanka,7.87556111 N,80.73567222 E
Vasudev et al 2008,2008,Resource Distribution and Group Size in the Common Langur Semnopithecus entellus in Southern India,4,Hanuman langur,Primate,India,11.99226111 N,76.06672222 E
Viswanathan et al 2014,2014,Seed Dispersal by Avian Frugivores: Non-random Heterogeneity at Fine Scales,3,Civet sp,Carnivore,India,27.44547222 N,96.53580833 E
Wan 2009,2009,"The role of Masked Palm Civet (Paguma larvata) and Small IndianCivet (Viverricula indica) in seed dispersal in Hong Kong, China",17,Masked palm civet,Carnivore,China,22.40876111 N,114.13824722 E
Wan 2009,2009,"The role of Masked Palm Civet (Paguma larvata) and Small IndianCivet (Viverricula indica) in seed dispersal in Hong Kong, China",17,Small indian civet,Carnivore,China,22.40876111 N,114.13824722 E
Wang & Hou 2021,2021,"Short-term study on the yak dung seed bank on the Qinghai-Tibetan Plateau: effects of grazing season, seed characteristics and forage preferences",12,Domestic sheep,Herbivore,China,36.63505556 N,101.76104167 E
Wegge et al 2006,2006,Dry season diets of sympatric ungulates in lowland Nepal: competition and facilitation in alluvial tall grasslands,2,Hog deer,Herbivore,Nepal,28.35875278 N,81.55964167 E
Wilson & Dookia 2019,2019,"Desert Fox (Vulpes vulpes pusilla) a Generalist or Opportunistic Specialist: Insight into the Feeding Habit in Thar Desert of Rajasthan, India",24,Dessert Fox,Carnivore,India,26.81946389 N,70.51819444 E
Wolfe 1992,1992,"Feeding Habits of the Rhesus Monkeys (Macaca mulatta) of Jaipur and Galta, India",8,Rhesus macaque,Primate,India,26.91699722 N,75.85825278 E
Wronski et al 2014,2014,"Endemic Farasan gazelle (Gazella gazella farasani) enhance the dispersal of invasive Prosopis juliflora on Farasan Islands, Saudi Arabia",4,Farasan Gazelle,Herbivore,Saudi arabia,16.70583333 N,41.98333611 E
Yadav et al 2019,2019,"Occurrence and feeding habit of Asiatic black bear (Ursus thibetanus) in Nanda Devi biosphere reserve, Uttarakhand, India",24,Asiatic black bear,Carnivore,India,30.54110556 N,79.971575 E
Yamashiro & Yamashiro 2006,2006,"Seed Dispersal by Kerama Deer (Cervus nippon keramae) on Aka Island, the Ryukyu Archipelago, Japan",7,Sika deer,Herbivore,Japan,26.18267222 N,127.28918056 E
Yanamoto-Ebina et al 2016,2016,Food habits of Asian elephants Elephas maximus in a rainforest of northern Peninsular Malaysia,2,Elephant,Herbivore,Malayesia,5.19787222 N,101.39802778 E
Yasumoto & Takatsuki 2015,2015,"The Japanese Marten Favors Actinidia arguta, a Forest Edge Liane as a Directed Seed Disperser",12,Japanese marten,Carnivore,Japan,35.68922778 N,139.69671944 E
Yeager 1989,1989,Feeding Ecology of the Proboscis Monkey (Nasalis larvatus) ,12,Proboscis monkey,Primate,Indonesia,3.05501389 S,111.91841389 E
Yeager 1996,1996,"Feeding ecology of the long-tailed macaque(Macaca fascicularis) in Kalimantan Tengah, Indonesia",12,Crab-eating monkey,Primate,Indonesia,3.05501389 S,111.91841389 E
Yin et al 2011,2011,A Video-Aided Study of the Diet of Wild White-Headed Langurs (Trachypithecus leucocephalus) ,24,White-headed langur,Primate,China,22.29056111 N,107.54626944 E
Yoshikawa & Higuchi 2018,2018,Invasion of the loquat Eriobotrya japonica into urban areas of central Tokyo facilitated by crows,1,Japanese macaque,Primate,Japan,35.67642222 N,139.50002778 E
Yoshikawa & Higuchi 2018,2018,Invasion of the loquat Eriobotrya japonica into urban areas of central Tokyo facilitated by crows,1,Masked palm civet,Carnivore,Japan,35.67642222 N,139.50002778 E
Yoshikawa & Higuchi 2018,2018,Invasion of the loquat Eriobotrya japonica into urban areas of central Tokyo facilitated by crows,1,Raccoon dog,Carnivore,Japan,35.67642222 N,139.50002778 E
Yousof 2009,2009,"Food Preferences of Seladang (Bos gaurus hubbackki) in Ulu Lepar, Pahang, Peninsular Malaysia",2,Gaur,Herbivore,Malayesia,3.76898056 N,102.85148333 E
Zhang & Chu 2015,2015,Seed rain and seedling survival are major factors limiting vegetation regeneration on rehabilitated quarries,12,Civet sp,Carnivore,China,22.40876111 N,114.13824722 E
Zhou et al 2006,2006,"Diet and Food Choice of Trachypithecus francoisi in the Nonggang Nature Reserve, China",12,Francoi's leaf monkey,Primate,China,22.29056111 N,107.54626944 E
Zhou et al 2007,2007,"Frugivory and seed dispersal by the yellow-throated marten, Martes flavigula, in a subtropical forest of China",14,Yellow throated marten,Carnivore,China,30.08402222 N,110.55533889 E
Zhou et al 2008 a,2008,"Frugivory and seed dispersal by a small carnivore, the Chinese ferret-badger, Melogale moschata, in a fragmented subtropical forest of central China",24,Chinese ferret-badger,Carnivore,China,30.08402222 N,110.55533889 E
Zhou et al 2008 b,2008,DIETARY SHIFTS IN RELATION TO FRUIT AVAILABILITY AMONG MASKED PALM CIVETS (PAGUMA LARVATA) IN CENTRAL CHINA,6,Masked palm civet,Carnivore,China,30.08402222 N,110.55533889 E
Zhou et al 2013,2013,"Anomalous, extreme weather disrupts obligate seed dispersal mutualism: snow in a subtropical forest ecosystem",62,Asiatic black bear,Carnivore,China,30.08402222 N,110.55533889 E
Zhou et al 2013,2013,"Anomalous, extreme weather disrupts obligate seed dispersal mutualism: snow in a subtropical forest ecosystem",62,Chinese ferret-badger,Carnivore,China,30.08402222 N,110.55533889 E
Zhou et al 2013,2013,"Anomalous, extreme weather disrupts obligate seed dispersal mutualism: snow in a subtropical forest ecosystem",62,Masked palm civet,Carnivore,China,30.08402222 N,110.55533889 E
Zhou et al 2013,2013,"Anomalous, extreme weather disrupts obligate seed dispersal mutualism: snow in a subtropical forest ecosystem",62,Yellow throated marten,Carnivore,China,30.08402222 N,110.55533889 E
Zhou et al 2014,2014,"Niche separation of sympatric macaques, Macaca assamensis and M. mulatta, in limestone habitats of Nonggang, China",24,Assamese macaque,Primate,China,22.29056111 N,107.54626944 E
Zhou et al 2014,2014,"Niche separation of sympatric macaques, Macaca assamensis and M. mulatta, in limestone habitats of Nonggang, China",24,Rhesus macaque,Primate,China,22.29056111 N,107.54626944 E
Zhou et al 2015,2015,Seasonal dietary shifts and food resource exploitation by the hog badger (Arctonyx collaris) in a Chinese subtropical forest,26,Great hog-badger,Carnivore,China,30.08402222 N,110.55533889 E
